feature_1,feature_2,n,spearman_rho,abs_rho,p_value,strength,direction
evidence_overlap_ratio,evid_overlap_emb,20,1.0,1.0,0.0,strong,+
evidence_overlap_ratio,evidence_overlap_emb,20,1.0,1.0,0.0,strong,+
evid_overlap_emb,evidence_overlap_emb,20,1.0,1.0,0.0,strong,+
hallucination_score,chunk_hallu_score,20,-1.0,1.0,0.0,strong,-
gold_len,cross_attention_mass_to_gold_raw,20,1.0,1.0,0.0,strong,+
gold_found,gold_available,20,1.0,1.0,0.0,strong,+
gold_len,gold_found,20,0.9969230769230769,0.9969230769230769,2.321565818738523e-21,strong,+
gold_len,gold_available,20,0.9969230769230769,0.9969230769230769,2.321565818738523e-21,strong,+
cross_attention_mass_to_gold_raw,gold_found,20,0.9969230769230769,0.9969230769230769,2.321565818738523e-21,strong,+
cross_attention_mass_to_gold_raw,gold_available,20,0.9969230769230769,0.9969230769230769,2.321565818738523e-21,strong,+
seq_len,dist_len,20,0.9338345864661652,0.9338345864661652,1.8126865423587107e-09,strong,+
hallu_score,hallucination_score,20,0.7729323308270677,0.7729323308270677,6.458024083746024e-05,strong,+
hallu_score,chunk_hallu_score,20,-0.7729323308270677,0.7729323308270677,6.458024083746024e-05,strong,-
evidence_overlap_ratio,gold_len,20,0.6990864070422756,0.6990864070422756,0.0006041580491869909,moderate,+
evidence_overlap_ratio,cross_attention_mass_to_gold_raw,20,0.6990864070422756,0.6990864070422756,0.0006041580491869909,moderate,+
evid_overlap_emb,gold_len,20,0.6990864070422756,0.6990864070422756,0.0006041580491869909,moderate,+
evid_overlap_emb,cross_attention_mass_to_gold_raw,20,0.6990864070422756,0.6990864070422756,0.0006041580491869909,moderate,+
evidence_overlap_emb,gold_len,20,0.6990864070422756,0.6990864070422756,0.0006041580491869909,moderate,+
evidence_overlap_emb,cross_attention_mass_to_gold_raw,20,0.6990864070422756,0.6990864070422756,0.0006041580491869909,moderate,+
evidence_overlap_ratio,gold_found,20,0.6969353719436839,0.6969353719436839,0.0006384886342541897,moderate,+
evidence_overlap_ratio,gold_available,20,0.6969353719436839,0.6969353719436839,0.0006384886342541897,moderate,+
evid_overlap_emb,gold_found,20,0.6969353719436839,0.6969353719436839,0.0006384886342541897,moderate,+
evid_overlap_emb,gold_available,20,0.6969353719436839,0.6969353719436839,0.0006384886342541897,moderate,+
evidence_overlap_emb,gold_found,20,0.6969353719436839,0.6969353719436839,0.0006384886342541897,moderate,+
evidence_overlap_emb,gold_available,20,0.6969353719436839,0.6969353719436839,0.0006384886342541897,moderate,+
evid_overlap_ngram,dist_len,20,-0.5977401049642785,0.5977401049642785,0.005378917634819824,moderate,-
att_avg_entropy,distractor_attention_max,20,0.5654135338345864,0.5654135338345864,0.009374317750631534,moderate,+
evidence_overlap_ratio,hallu_score,20,-0.5593984962406015,0.5593984962406015,0.010333258461010715,moderate,-
hallu_score,evid_overlap_emb,20,-0.5593984962406015,0.5593984962406015,0.010333258461010715,moderate,-
hallu_score,evidence_overlap_emb,20,-0.5593984962406015,0.5593984962406015,0.010333258461010715,moderate,-
hallu_score,evid_overlap_ngram,20,-0.5494378742600944,0.5494378742600944,0.012095286248203357,moderate,-
interference_token_hits,resp_len,20,0.512781954887218,0.512781954887218,0.0207797266670458,moderate,+
total_response_tokens,interference_token_hits,20,0.5037593984962406,0.5037593984962406,0.02353803922116817,moderate,+
att_avg_entropy,gold_found,20,0.4850584147324097,0.4850584147324097,0.030176012886797242,moderate,+
att_avg_entropy,gold_available,20,0.4850584147324097,0.4850584147324097,0.030176012886797242,moderate,+
att_avg_entropy,gold_len,20,0.4829073796338181,0.4829073796338181,0.03102508526263459,moderate,+
att_avg_entropy,cross_attention_mass_to_gold_raw,20,0.4829073796338181,0.4829073796338181,0.03102508526263459,moderate,+
interference_token_hits,att_avg_entropy,20,0.4766917293233082,0.4766917293233082,0.03358407951093336,moderate,+
evid_overlap_ngram,hallucination_score,20,-0.44075785517568017,0.44075785517568017,0.051759052822864526,moderate,-
evid_overlap_ngram,chunk_hallu_score,20,0.44075785517568017,0.44075785517568017,0.051759052822864526,moderate,+
evidence_overlap_ratio,hallucination_score,20,-0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,-
evidence_overlap_ratio,chunk_hallu_score,20,0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,+
evid_overlap_emb,hallucination_score,20,-0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,-
evid_overlap_emb,chunk_hallu_score,20,0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,+
interference_token_hits,distractor_attention_max,20,0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,+
hallucination_score,evidence_overlap_emb,20,-0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,-
chunk_hallu_score,evidence_overlap_emb,20,0.44060150375939844,0.44060150375939844,0.05185183693270709,moderate,+
evid_overlap_ngram,seq_len,20,-0.4400031328209273,0.4400031328209273,0.05220810399840809,moderate,-
resp_len,gold_len,20,0.4366601250140983,0.4366601250140983,0.05423301645295445,moderate,+
resp_len,cross_attention_mass_to_gold_raw,20,0.4366601250140983,0.4366601250140983,0.05423301645295445,moderate,+
evid_overlap_ngram,gold_len,20,0.43345289277660876,0.43345289277660876,0.056231397843708814,moderate,+
evid_overlap_ngram,cross_attention_mass_to_gold_raw,20,0.43345289277660876,0.43345289277660876,0.056231397843708814,moderate,+
evid_overlap_ngram,gold_found,20,0.42913455760573344,0.42913455760573344,0.05900991301058923,moderate,+
evid_overlap_ngram,gold_available,20,0.42913455760573344,0.42913455760573344,0.05900991301058923,moderate,+
resp_len,gold_found,20,0.4280559846197318,0.4280559846197318,0.05971985403224975,moderate,+
resp_len,gold_available,20,0.4280559846197318,0.4280559846197318,0.05971985403224975,moderate,+
distractor_density_chunk,dist_len,20,0.42545885017501023,0.42545885017501023,0.06145587789101231,moderate,+
att_avg_entropy,resp_len,20,0.3924812030075188,0.3924812030075188,0.08695594245899085,weak,+
interference_token_hits,distractor_density_chunk,20,0.37680970930260776,0.37680970930260776,0.10149342767093861,weak,+
interference_token_hits,seq_len,20,0.3759398496240601,0.3759398496240601,0.10234904601068492,weak,+
total_response_tokens,resp_len,20,0.3744360902255639,0.3744360902255639,0.10384052952246073,weak,+
evidence_overlap_ratio,distractor_attention_max,20,-0.3669172932330827,0.3669172932330827,0.111535199402392,weak,-
evid_overlap_emb,distractor_attention_max,20,-0.3669172932330827,0.3669172932330827,0.111535199402392,weak,-
distractor_attention_max,evidence_overlap_emb,20,-0.3669172932330827,0.3669172932330827,0.111535199402392,weak,-
hallu_score,gold_len,20,-0.36567596676057496,0.36567596676057496,0.11284402647044928,weak,-
hallu_score,cross_attention_mass_to_gold_raw,20,-0.36567596676057496,0.36567596676057496,0.11284402647044928,weak,-
hallu_score,gold_found,20,-0.35922286146480004,0.35922286146480004,0.11982654476805117,weak,-
hallu_score,gold_available,20,-0.35922286146480004,0.35922286146480004,0.11982654476805117,weak,-
evidence_overlap_ratio,evid_overlap_ngram,20,0.3509458949600878,0.3509458949600878,0.12922801479703747,weak,+
evid_overlap_ngram,evid_overlap_emb,20,0.3509458949600878,0.3509458949600878,0.12922801479703747,weak,+
evid_overlap_ngram,evidence_overlap_emb,20,0.3509458949600878,0.3509458949600878,0.12922801479703747,weak,+
interference_token_hits,gold_len,20,0.35061872107043357,0.35061872107043357,0.12961007507762387,weak,+
interference_token_hits,cross_attention_mass_to_gold_raw,20,0.35061872107043357,0.35061872107043357,0.12961007507762387,weak,+
distractor_density_chunk,seq_len,20,0.3493892844472537,0.3493892844472537,0.13105292136660546,weak,+
interference_score_lexical_wrt_distractors,hallu_score,20,0.3443609022556391,0.3443609022556391,0.13707258150434384,weak,+
interference_token_hits,gold_found,20,0.33556147538029224,0.33556147538029224,0.14807065177362358,weak,+
interference_token_hits,gold_available,20,0.33556147538029224,0.33556147538029224,0.14807065177362358,weak,+
interference_score_lexical_wrt_distractors,interference_token_hits,20,0.32631578947368417,0.32631578947368417,0.16027455107910063,weak,+
interference_score_lexical_wrt_distractors,distractor_attention_max,20,0.3218045112781954,0.3218045112781954,0.166474348578758,weak,+
hallu_score,interference_token_hits,20,-0.31729323308270674,0.31729323308270674,0.1728368864071423,weak,-
interference_score_lexical_wrt_distractors,seq_len,20,0.2992481203007519,0.2992481203007519,0.19994045290488707,weak,+
interference_score_lexical_wrt_distractors,dist_len,20,0.28721804511278193,0.28721804511278193,0.21950431346270238,weak,+
interference_score_lexical_wrt_distractors,att_avg_entropy,20,0.2827067669172932,0.2827067669172932,0.22715328510473626,weak,+
seq_len,resp_len,20,0.2827067669172932,0.2827067669172932,0.22715328510473626,weak,+
evid_overlap_ngram,att_avg_entropy,20,0.28000199361331735,0.28000199361331735,0.2318215038965083,weak,+
evidence_overlap_ratio,seq_len,20,0.27669172932330827,0.27669172932330827,0.23761884061099173,weak,+
evid_overlap_emb,seq_len,20,0.27669172932330827,0.27669172932330827,0.23761884061099173,weak,+
evidence_overlap_emb,seq_len,20,0.27669172932330827,0.27669172932330827,0.23761884061099173,weak,+
seq_len,gold_found,20,0.2699549048732479,0.2699549048732479,0.2497037654824805,weak,+
seq_len,gold_available,20,0.2699549048732479,0.2699549048732479,0.2497037654824805,weak,+
interference_score_lexical_wrt_distractors,distractor_density_chunk,20,0.26712800988119145,0.26712800988119145,0.25488952633348827,weak,+
total_response_tokens,distractor_density_chunk,20,0.2520910027024489,0.2520910027024489,0.28361610292514994,weak,+
evid_overlap_ngram,interference_token_hits,20,0.25132254413270805,0.25132254413270805,0.2851358220107452,weak,+
interference_token_hits,hallucination_score,20,-0.24962406015037594,0.24962406015037594,0.28851258969719185,weak,-
interference_token_hits,chunk_hallu_score,20,0.24962406015037594,0.24962406015037594,0.28851258969719185,weak,+
seq_len,gold_len,20,0.24414248369014852,0.24414248369014852,0.2995777296075165,weak,+
seq_len,cross_attention_mass_to_gold_raw,20,0.24414248369014852,0.24414248369014852,0.2995777296075165,weak,+
hallu_score,dist_len,20,0.23308270676691725,0.23308270676691725,0.32267802500462284,weak,+
att_avg_entropy,seq_len,20,0.22556390977443608,0.22556390977443608,0.33897093917086685,weak,+
hallucination_score,gold_len,20,-0.20757488701409105,0.20757488701409105,0.3798615769964713,weak,-
hallucination_score,cross_attention_mass_to_gold_raw,20,-0.20757488701409105,0.20757488701409105,0.3798615769964713,weak,-
chunk_hallu_score,gold_len,20,0.20757488701409105,0.20757488701409105,0.3798615769964713,weak,+
chunk_hallu_score,cross_attention_mass_to_gold_raw,20,0.20757488701409105,0.20757488701409105,0.3798615769964713,weak,+
total_response_tokens,att_avg_entropy,20,0.20150375939849624,0.20150375939849624,0.3942605047612736,weak,+
interference_token_hits,dist_len,20,0.19999999999999998,0.19999999999999998,0.39787297935196153,weak,+
evidence_overlap_ratio,interference_token_hits,20,0.19849624060150375,0.19849624060150375,0.4015036070038971,weak,+
evid_overlap_emb,interference_token_hits,20,0.19849624060150375,0.19849624060150375,0.4015036070038971,weak,+
interference_token_hits,evidence_overlap_emb,20,0.19849624060150375,0.19849624060150375,0.4015036070038971,weak,+
interference_score_lexical_wrt_distractors,gold_len,20,0.19681971152113298,0.19681971152113298,0.40557269488878944,weak,+
interference_score_lexical_wrt_distractors,cross_attention_mass_to_gold_raw,20,0.19681971152113298,0.19681971152113298,0.40557269488878944,weak,+
hallucination_score,gold_found,20,-0.19681971152113298,0.19681971152113298,0.40557269488878944,weak,-
